t_s,theta_deg,alpha_deg,alpha_dot_hat,theta_dot_hat,u_fb,u_fric,u_total,dt_ms
0.009,0.00,-1.76,-0.577,0.403,-0.352,0.097,-0.255,2.9
0.012,0.00,-1.76,-0.121,0.053,-0.399,0.033,-0.366,5.9
0.016,0.00,-1.76,0.652,-0.517,-0.180,-0.128,-0.309,3.8
0.016,0.00,-1.76,0.685,-0.542,-0.169,-0.129,-0.297,0.2
0.020,-0.02,-1.76,1.260,-0.970,0.025,-0.129,-0.104,3.8
0.020,-0.02,-1.76,1.261,-0.972,0.025,-0.129,-0.104,0.2
0.024,-0.04,-1.58,1.317,-1.026,0.064,-0.129,-0.065,3.8
0.024,-0.04,-1.58,1.305,-1.018,0.059,-0.129,-0.069,0.3
0.028,-0.11,-1.58,1.163,-0.930,0.004,-0.129,-0.124,3.8
0.028,-0.11,-1.58,1.158,-0.927,0.001,-0.129,-0.128,0.3
0.032,-0.15,-1.58,1.108,-0.904,-0.038,-0.129,-0.167,3.6
0.032,-0.15,-1.58,1.110,-0.906,-0.040,-0.129,-0.169,0.3
0.036,-0.17,-1.41,1.208,-0.987,-0.015,-0.129,-0.144,3.7
0.036,-0.17,-1.41,1.207,-0.988,-0.016,-0.129,-0.145,0.3
0.039,-0.22,-1.41,1.204,-0.993,-0.025,-0.129,-0.153,2.3
0.039,-0.24,-1.41,1.204,-0.993,-0.026,-0.129,-0.154,0.2
0.043,-0.26,-1.41,1.202,-1.003,-0.044,-0.129,-0.173,3.9
0.043,-0.26,-1.41,1.203,-1.004,-0.045,-0.129,-0.174,0.3
0.047,-0.31,-1.23,1.296,-1.080,-0.014,-0.129,-0.143,3.7
0.047,-0.31,-1.23,1.293,-1.079,-0.016,-0.129,-0.145,0.3
0.050,-0.33,-1.23,1.265,-1.066,-0.032,-0.129,-0.161,2.7
0.050,-0.33,-1.23,1.264,-1.065,-0.034,-0.129,-0.162,0.2
0.053,-0.37,-1.23,1.252,-1.064,-0.050,-0.129,-0.179,3.1
0.053,-0.37,-1.23,1.252,-1.065,-0.051,-0.129,-0.180,0.3
0.057,-0.42,-1.23,1.264,-1.083,-0.064,-0.129,-0.192,3.7
0.057,-0.42,-1.23,1.266,-1.085,-0.065,-0.129,-0.193,0.3
0.061,-0.48,-1.05,1.379,-1.173,-0.024,-0.129,-0.152,3.8
0.061,-0.48,-1.05,1.376,-1.172,-0.025,-0.129,-0.153,0.3
0.065,-0.52,-1.05,1.333,-1.148,-0.045,-0.129,-0.174,3.7
0.065,-0.52,-1.05,1.330,-1.147,-0.046,-0.129,-0.175,0.3
0.069,-0.59,-1.05,1.316,-1.144,-0.064,-0.129,-0.192,3.7
0.069,-0.59,-0.88,1.321,-1.148,-0.061,-0.129,-0.190,0.2
0.073,-0.66,-0.88,1.405,-1.214,-0.028,-0.129,-0.156,3.8
0.073,-0.66,-0.88,1.402,-1.213,-0.029,-0.129,-0.157,0.2
0.077,-0.74,-0.70,1.428,-1.236,-0.002,-0.129,-0.131,4.0
0.077,-0.76,-0.70,1.421,-1.232,-0.004,-0.129,-0.133,0.3
0.080,-0.85,-0.70,1.372,-1.200,-0.017,-0.129,-0.146,2.4
0.080,-0.87,-0.53,1.373,-1.201,-0.015,-0.129,-0.144,0.2
0.084,-0.92,-0.53,1.369,-1.201,-0.000,-0.129,-0.129,3.8
0.084,-0.94,-0.53,1.363,-1.197,-0.002,-0.129,-0.131,0.2
0.088,-1.03,-0.35,1.356,-1.194,0.020,-0.129,-0.108,3.8
0.088,-1.03,-0.35,1.347,-1.188,0.017,-0.129,-0.111,0.2
0.092,-1.14,-0.18,1.310,-1.162,0.033,-0.129,-0.096,3.7
0.092,-1.14,-0.18,1.301,-1.155,0.030,-0.129,-0.099,0.2
0.096,-1.25,-0.18,1.179,-1.069,-0.001,-0.129,-0.129,3.7
0.096,-1.25,0.00,1.179,-1.069,0.000,-0.129,-0.128,0.3
0.100,-1.36,0.00,1.185,-1.073,0.022,-0.129,-0.106,3.8
0.100,-1.36,0.00,1.177,-1.068,0.020,-0.129,-0.108,0.3
0.104,-1.46,0.18,1.175,-1.064,0.048,-0.129,-0.080,3.7
0.104,-1.46,0.18,1.163,-1.056,0.046,-0.129,-0.083,0.3
0.108,-1.57,0.18,1.050,-0.974,0.021,-0.129,-0.107,3.7
0.108,-1.57,0.18,1.042,-0.968,0.019,-0.129,-0.110,0.3
0.112,-1.68,0.35,1.056,-0.975,0.047,-0.129,-0.082,3.7
0.112,-1.70,0.35,1.048,-0.970,0.045,-0.129,-0.083,0.3
0.116,-1.79,0.35,0.962,-0.905,0.030,-0.129,-0.099,3.8
0.116,-1.79,0.35,0.956,-0.901,0.028,-0.129,-0.101,0.3
0.119,-1.88,0.35,0.919,-0.873,0.019,-0.129,-0.109,2.5
0.119,-1.88,0.53,0.923,-0.875,0.023,-0.129,-0.106,0.4
0.123,-1.95,0.53,0.949,-0.891,0.053,-0.129,-0.076,3.6
0.123,-1.95,0.53,0.936,-0.881,0.050,-0.129,-0.079,0.5
0.126,-2.01,0.53,0.888,-0.844,0.042,-0.129,-0.087,2.4
0.126,-2.03,0.53,0.879,-0.837,0.040,-0.129,-0.089,0.5
0.129,-2.05,0.70,0.887,-0.840,0.060,-0.129,-0.068,2.5
0.129,-2.08,0.70,0.885,-0.838,0.060,-0.129,-0.068,0.1
0.133,-2.12,0.70,0.820,-0.787,0.058,-0.129,-0.071,3.8
0.133,-2.12,0.70,0.814,-0.783,0.056,-0.129,-0.072,0.2
0.137,-2.19,0.70,0.737,-0.723,0.039,-0.129,-0.089,3.8
0.137,-2.19,0.70,0.735,-0.721,0.039,-0.129,-0.090,0.1
0.139,-2.25,0.88,0.763,-0.737,0.063,-0.129,-0.065,2.2
0.139,-2.25,0.88,0.761,-0.736,0.064,-0.129,-0.065,0.2
0.143,-2.27,0.88,0.716,-0.697,0.068,-0.129,-0.061,3.8
0.143,-2.27,0.88,0.712,-0.695,0.067,-0.129,-0.062,0.2
0.147,-2.27,0.88,0.619,-0.621,0.044,-0.129,-0.084,3.9
0.147,-2.27,0.88,0.617,-0.620,0.044,-0.129,-0.085,0.2
0.151,-2.27,0.88,0.580,-0.586,0.034,-0.129,-0.095,3.8
0.151,-2.27,0.88,0.579,-0.585,0.034,-0.129,-0.095,0.2
0.155,-2.27,0.70,0.499,-0.522,-0.010,-0.128,-0.139,3.9
0.155,-2.27,0.70,0.503,-0.525,-0.010,-0.128,-0.138,0.2
0.157,-2.27,0.70,0.545,-0.552,-0.000,-0.129,-0.129,2.2
0.158,-2.27,0.70,0.549,-0.555,0.001,-0.129,-0.128,0.2
0.161,-2.27,0.70,0.606,-0.591,0.019,-0.129,-0.109,3.3
0.161,-2.27,0.70,0.608,-0.592,0.020,-0.129,-0.108,0.2
0.164,-2.27,0.70,0.625,-0.601,0.028,-0.129,-0.101,2.6
0.164,-2.27,0.70,0.626,-0.601,0.029,-0.129,-0.100,0.2
0.168,-2.27,0.70,0.631,-0.600,0.035,-0.129,-0.094,3.8
0.168,-2.27,0.70,0.630,-0.599,0.035,-0.129,-0.094,0.3
0.172,-2.27,0.70,0.620,-0.587,0.036,-0.129,-0.092,3.7
0.172,-2.27,0.70,0.619,-0.586,0.036,-0.129,-0.092,0.2
0.176,-2.27,0.70,0.606,-0.571,0.036,-0.129,-0.092,3.7
0.176,-2.27,0.70,0.606,-0.570,0.037,-0.129,-0.092,0.2
0.180,-2.27,0.70,0.596,-0.558,0.038,-0.129,-0.091,3.8
0.180,-2.27,0.70,0.595,-0.557,0.038,-0.129,-0.090,0.3
0.182,-2.27,0.70,0.589,-0.549,0.039,-0.129,-0.089,2.3
0.183,-2.27,0.70,0.588,-0.548,0.039,-0.129,-0.089,0.3
0.185,-2.27,0.70,0.582,-0.540,0.041,-0.129,-0.088,2.3
0.185,-2.27,0.70,0.581,-0.539,0.041,-0.129,-0.088,0.3
0.188,-2.27,0.70,0.575,-0.530,0.043,-0.128,-0.086,2.7
0.188,-2.27,0.70,0.574,-0.529,0.043,-0.128,-0.086,0.4
0.191,-2.27,0.70,0.567,-0.520,0.044,-0.128,-0.084,2.6
0.191,-2.27,0.70,0.566,-0.519,0.045,-0.128,-0.084,0.2
0.193,-2.27,0.70,0.559,-0.511,0.046,-0.128,-0.082,2.3
0.194,-2.27,0.70,0.558,-0.510,0.046,-0.128,-0.082,0.3
0.198,-2.27,0.70,0.544,-0.494,0.048,-0.128,-0.080,4.0
0.198,-2.27,0.70,0.543,-0.492,0.048,-0.128,-0.080,0.4
0.200,-2.27,0.70,0.535,-0.483,0.050,-0.128,-0.078,2.5
0.201,-2.27,0.70,0.534,-0.482,0.050,-0.128,-0.078,0.3
0.205,-2.27,0.70,0.521,-0.467,0.053,-0.128,-0.075,3.8
0.205,-2.27,0.70,0.520,-0.466,0.053,-0.128,-0.075,0.3
0.208,-2.27,0.70,0.507,-0.451,0.055,-0.128,-0.072,3.7
0.209,-2.27,0.70,0.506,-0.450,0.055,-0.128,-0.072,0.2
0.212,-2.27,0.70,0.491,-0.433,0.058,-0.128,-0.070,3.8
0.213,-2.27,0.70,0.490,-0.432,0.058,-0.128,-0.070,0.2
0.217,-2.27,0.70,0.476,-0.417,0.061,-0.128,-0.067,3.8
0.217,-2.27,0.70,0.475,-0.415,0.061,-0.128,-0.066,0.3
0.221,-2.27,0.70,0.459,-0.398,0.063,-0.127,-0.064,3.7
0.221,-2.27,0.70,0.458,-0.397,0.063,-0.127,-0.064,0.2
0.223,-2.27,0.70,0.449,-0.388,0.065,-0.127,-0.063,2.1
0.223,-2.27,0.70,0.448,-0.387,0.065,-0.127,-0.063,0.2
0.227,-2.27,0.70,0.433,-0.370,0.067,-0.127,-0.060,3.7
0.227,-2.27,0.70,0.432,-0.369,0.067,-0.127,-0.060,0.2
0.229,-2.27,0.53,0.374,-0.325,0.040,-0.125,-0.085,2.3
0.230,-2.27,0.53,0.373,-0.324,0.039,-0.125,-0.086,0.3
0.233,-2.27,0.53,0.380,-0.326,0.035,-0.125,-0.091,3.7
0.234,-2.27,0.53,0.383,-0.327,0.036,-0.125,-0.090,0.2
0.237,-2.27,0.53,0.431,-0.358,0.053,-0.127,-0.073,3.8
0.237,-2.27,0.53,0.432,-0.358,0.054,-0.127,-0.073,0.2
0.241,-2.27,0.53,0.452,-0.368,0.066,-0.127,-0.061,3.8
0.242,-2.27,0.53,0.451,-0.367,0.066,-0.127,-0.061,0.2
0.245,-2.27,0.53,0.441,-0.356,0.069,-0.126,-0.058,3.9
0.246,-2.27,0.53,0.440,-0.355,0.069,-0.126,-0.058,0.3
0.248,-2.27,0.53,0.429,-0.345,0.070,-0.126,-0.057,2.6
0.249,-2.27,0.53,0.428,-0.344,0.070,-0.126,-0.057,0.2
0.252,-2.27,0.53,0.415,-0.331,0.070,-0.126,-0.056,3.3
0.252,-2.27,0.53,0.414,-0.330,0.070,-0.126,-0.056,0.2
0.256,-2.27,0.35,0.326,-0.264,0.025,-0.121,-0.096,3.9
0.256,-2.27,0.35,0.330,-0.266,0.026,-0.122,-0.096,0.3
0.260,-2.25,0.35,0.381,-0.301,0.036,-0.124,-0.089,3.7
0.260,-2.27,0.35,0.385,-0.304,0.037,-0.124,-0.087,0.3
0.262,-2.27,0.35,0.422,-0.329,0.051,-0.126,-0.075,2.2
0.263,-2.27,0.35,0.424,-0.330,0.051,-0.126,-0.074,0.2
0.266,-2.27,0.35,0.457,-0.352,0.067,-0.126,-0.060,3.8
0.267,-2.27,0.35,0.457,-0.351,0.067,-0.126,-0.060,0.2
0.269,-2.27,0.35,0.454,-0.348,0.069,-0.126,-0.058,2.2
0.269,-2.27,0.35,0.453,-0.347,0.069,-0.126,-0.058,0.2
0.273,-2.27,0.18,0.371,-0.288,0.025,-0.123,-0.098,3.6
0.273,-2.27,0.18,0.374,-0.289,0.025,-0.123,-0.098,0.2
0.277,-2.27,0.18,0.428,-0.327,0.034,-0.125,-0.091,3.8
0.277,-2.25,0.18,0.431,-0.329,0.035,-0.126,-0.091,0.3
0.281,-2.27,0.18,0.487,-0.369,0.053,-0.127,-0.074,3.8
0.281,-2.27,0.18,0.489,-0.370,0.053,-0.127,-0.074,0.2
0.285,-2.27,0.18,0.505,-0.381,0.060,-0.127,-0.066,3.7
0.285,-2.27,0.18,0.505,-0.381,0.060,-0.127,-0.066,0.3
0.289,-2.27,0.00,0.426,-0.325,0.015,-0.125,-0.110,3.8
0.289,-2.27,0.00,0.431,-0.328,0.015,-0.126,-0.110,0.3
0.291,-2.27,0.00,0.470,-0.357,0.021,-0.127,-0.105,2.3
0.292,-2.27,0.00,0.474,-0.360,0.022,-0.127,-0.105,0.3
0.295,-2.27,0.00,0.539,-0.407,0.037,-0.128,-0.091,3.7
0.296,-2.27,0.00,0.541,-0.409,0.038,-0.128,-0.090,0.3
0.299,-2.27,0.00,0.574,-0.432,0.047,-0.128,-0.081,3.7
0.300,-2.27,0.00,0.574,-0.433,0.047,-0.128,-0.081,0.3
0.302,-2.27,-0.18,0.531,-0.403,0.019,-0.128,-0.108,2.3
0.302,-2.27,-0.18,0.532,-0.404,0.018,-0.128,-0.109,0.3
0.304,-2.27,-0.18,0.546,-0.415,0.012,-0.128,-0.115,2.3
0.305,-2.27,-0.18,0.549,-0.417,0.012,-0.128,-0.115,0.2
0.308,-2.27,-0.18,0.604,-0.458,0.019,-0.128,-0.108,3.8
0.309,-2.27,-0.18,0.606,-0.460,0.020,-0.128,-0.108,0.2
0.312,-2.27,-0.35,0.580,-0.445,-0.015,-0.128,-0.143,3.7
0.313,-2.27,-0.35,0.585,-0.448,-0.014,-0.128,-0.143,0.2
0.316,-2.27,-0.35,0.679,-0.520,0.001,-0.128,-0.127,3.8
0.316,-2.27,-0.35,0.681,-0.521,0.001,-0.128,-0.127,0.1
0.320,-2.27,-0.35,0.748,-0.572,0.015,-0.129,-0.113,3.9
0.320,-2.27,-0.35,0.749,-0.573,0.015,-0.129,-0.113,0.1
0.324,-2.27,-0.35,0.774,-0.595,0.017,-0.129,-0.111,3.9
0.324,-2.27,-0.35,0.774,-0.595,0.017,-0.129,-0.111,0.1
0.328,-2.29,-0.35,0.790,-0.610,0.017,-0.129,-0.111,3.9
0.328,-2.29,-0.35,0.791,-0.610,0.017,-0.129,-0.111,0.1
0.332,-2.29,-0.53,0.721,-0.564,-0.034,-0.129,-0.162,3.8
0.332,-2.29,-0.53,0.723,-0.566,-0.034,-0.129,-0.162,0.1
0.336,-2.29,-0.53,0.815,-0.637,-0.023,-0.129,-0.151,3.9
0.336,-2.29,-0.53,0.817,-0.639,-0.023,-0.129,-0.151,0.1
0.340,-2.34,-0.53,0.904,-0.706,-0.002,-0.129,-0.131,3.8
0.340,-2.34,-0.53,0.905,-0.707,-0.002,-0.129,-0.131,0.1
0.344,-2.38,-0.35,1.014,-0.788,0.050,-0.129,-0.079,3.9
0.344,-2.38,-0.35,1.011,-0.786,0.049,-0.129,-0.080,0.1
0.348,-2.43,-0.35,0.949,-0.745,0.034,-0.129,-0.095,3.4
0.348,-2.43,-0.35,0.947,-0.743,0.033,-0.129,-0.096,0.1
0.350,-2.45,-0.35,0.914,-0.721,0.021,-0.129,-0.108,2.1
0.350,-2.45,-0.35,0.913,-0.721,0.020,-0.129,-0.108,0.1
0.354,-2.47,-0.35,0.881,-0.701,0.004,-0.129,-0.125,3.7
0.354,-2.47,-0.35,0.881,-0.701,0.003,-0.129,-0.125,0.2
0.358,-2.49,-0.35,0.884,-0.706,-0.004,-0.129,-0.133,3.9
0.358,-2.49,-0.35,0.885,-0.707,-0.004,-0.129,-0.133,0.2
0.362,-2.54,-0.35,0.911,-0.729,-0.001,-0.129,-0.130,3.8
0.362,-2.54,-0.35,0.912,-0.730,-0.001,-0.129,-0.130,0.2
0.366,-2.58,-0.35,0.930,-0.746,-0.000,-0.129,-0.129,3.8
0.366,-2.58,-0.35,0.930,-0.746,-0.001,-0.129,-0.129,0.2
0.370,-2.64,-0.35,0.949,-0.763,0.002,-0.129,-0.127,3.8
0.370,-2.64,-0.35,0.949,-0.763,0.002,-0.129,-0.127,0.1
0.374,-2.69,-0.35,0.954,-0.770,-0.002,-0.129,-0.131,3.8
0.374,-2.69,-0.35,0.954,-0.771,-0.002,-0.129,-0.131,0.1
0.378,-2.71,-0.35,0.954,-0.775,-0.009,-0.129,-0.138,3.9
0.378,-2.71,-0.35,0.955,-0.775,-0.010,-0.129,-0.139,0.1
0.382,-2.73,-0.35,0.967,-0.787,-0.014,-0.129,-0.143,3.9
0.382,-2.73,-0.35,0.967,-0.787,-0.014,-0.129,-0.143,0.1
0.386,-2.78,-0.35,0.990,-0.807,-0.013,-0.129,-0.142,3.9
0.386,-2.80,-0.35,0.990,-0.808,-0.013,-0.129,-0.143,0.1
0.388,-2.84,-0.35,1.007,-0.821,-0.011,-0.129,-0.140,2.1
0.388,-2.84,-0.35,1.007,-0.822,-0.011,-0.129,-0.140,0.1
0.392,-2.84,-0.35,1.013,-0.829,-0.016,-0.129,-0.145,3.9
0.392,-2.84,-0.35,1.013,-0.829,-0.016,-0.129,-0.145,0.1
0.396,-2.89,-0.35,1.027,-0.843,-0.019,-0.129,-0.147,3.9
0.396,-2.89,-0.35,1.027,-0.843,-0.019,-0.129,-0.147,0.2
0.399,-2.93,-0.35,1.038,-0.853,-0.019,-0.129,-0.147,2.2
0.399,-2.93,-0.35,1.038,-0.853,-0.019,-0.129,-0.148,0.1
0.401,-2.95,-0.35,1.048,-0.862,-0.020,-0.129,-0.148,2.1
0.401,-2.95,-0.35,1.048,-0.862,-0.020,-0.129,-0.148,0.2
0.405,-2.97,-0.18,1.130,-0.923,0.020,-0.129,-0.108,3.7
0.405,-2.97,-0.18,1.127,-0.921,0.019,-0.129,-0.109,0.2
0.409,-3.02,-0.18,1.070,-0.882,0.005,-0.129,-0.123,3.8
0.409,-3.04,-0.18,1.068,-0.881,0.005,-0.129,-0.124,0.2
0.413,-3.08,-0.18,1.032,-0.857,-0.009,-0.129,-0.138,3.8
0.413,-3.08,-0.18,1.031,-0.856,-0.010,-0.129,-0.139,0.2
0.417,-3.10,-0.18,1.016,-0.848,-0.021,-0.129,-0.150,3.8
0.417,-3.10,-0.18,1.016,-0.848,-0.022,-0.129,-0.150,0.3
0.419,-3.10,-0.35,0.970,-0.817,-0.056,-0.129,-0.185,2.4
0.420,-3.08,-0.35,0.971,-0.818,-0.057,-0.129,-0.186,0.3
0.423,-3.08,-0.35,1.003,-0.843,-0.070,-0.129,-0.198,3.7
0.423,-3.08,-0.35,1.008,-0.847,-0.069,-0.129,-0.198,0.2
0.427,-3.08,-0.35,1.094,-0.911,-0.055,-0.129,-0.184,3.8
0.427,-3.08,-0.35,1.096,-0.913,-0.055,-0.129,-0.184,0.2
0.430,-3.10,-0.35,1.131,-0.940,-0.048,-0.129,-0.177,2.2
0.430,-3.10,-0.35,1.133,-0.942,-0.047,-0.129,-0.176,0.3
0.434,-3.10,-0.35,1.163,-0.966,-0.045,-0.129,-0.174,3.8
0.434,-3.10,-0.35,1.164,-0.967,-0.045,-0.129,-0.174,0.3
0.438,-3.10,-0.35,1.176,-0.978,-0.049,-0.129,-0.178,3.7
0.438,-3.10,-0.35,1.176,-0.979,-0.049,-0.129,-0.178,0.2
0.442,-3.10,-0.53,1.116,-0.939,-0.098,-0.129,-0.227,3.7
0.442,-3.10,-0.53,1.120,-0.942,-0.098,-0.129,-0.227,0.2
0.446,-3.10,-0.53,1.213,-1.013,-0.088,-0.129,-0.216,3.9
0.446,-3.10,-0.53,1.219,-1.017,-0.087,-0.129,-0.216,0.3
0.450,-3.10,-0.53,1.292,-1.073,-0.074,-0.129,-0.202,3.8
0.450,-3.10,-0.53,1.295,-1.075,-0.073,-0.129,-0.202,0.2
0.452,-3.10,-0.53,1.314,-1.091,-0.072,-0.129,-0.201,2.2
0.452,-3.10,-0.53,1.315,-1.092,-0.072,-0.129,-0.201,0.2
0.456,-3.13,-0.53,1.343,-1.116,-0.071,-0.129,-0.199,3.8
0.456,-3.13,-0.53,1.344,-1.116,-0.071,-0.129,-0.199,0.2
0.460,-3.15,-0.53,1.359,-1.130,-0.073,-0.129,-0.202,3.7
0.460,-3.15,-0.53,1.359,-1.131,-0.074,-0.129,-0.202,0.2
0.464,-3.19,-0.35,1.456,-1.203,-0.027,-0.129,-0.155,3.9
0.464,-3.19,-0.35,1.454,-1.201,-0.027,-0.129,-0.156,0.1
0.468,-3.23,-0.35,1.389,-1.156,-0.044,-0.129,-0.172,3.8
0.468,-3.23,-0.35,1.387,-1.155,-0.044,-0.129,-0.173,0.1
0.470,-3.28,-0.35,1.364,-1.139,-0.053,-0.129,-0.182,2.1
0.471,-3.28,-0.35,1.363,-1.138,-0.054,-0.129,-0.183,0.1
0.473,-3.30,-0.35,1.350,-1.130,-0.060,-0.129,-0.189,2.1
0.473,-3.30,-0.35,1.349,-1.130,-0.061,-0.129,-0.189,0.2
0.475,-3.32,-0.35,1.347,-1.129,-0.064,-0.129,-0.192,1.9
0.475,-3.32,-0.35,1.346,-1.129,-0.064,-0.129,-0.193,0.2
0.479,-3.34,-0.35,1.345,-1.130,-0.070,-0.129,-0.198,3.8
0.479,-3.34,-0.35,1.345,-1.130,-0.070,-0.129,-0.199,0.2
0.483,-3.37,-0.35,1.353,-1.138,-0.075,-0.129,-0.203,4.3
0.483,-3.37,-0.35,1.353,-1.138,-0.075,-0.129,-0.204,0.2
0.487,-3.41,-0.35,1.375,-1.156,-0.072,-0.129,-0.201,3.8
0.488,-3.43,-0.35,1.376,-1.157,-0.072,-0.129,-0.201,0.2
0.491,-3.48,-0.18,1.469,-1.224,-0.024,-0.129,-0.152,3.8
0.492,-3.48,-0.18,1.464,-1.220,-0.025,-0.129,-0.153,0.2
0.495,-3.52,-0.18,1.391,-1.168,-0.041,-0.129,-0.170,3.8
0.496,-3.54,-0.18,1.386,-1.165,-0.042,-0.129,-0.171,0.3
0.499,-3.61,0.00,1.421,-1.189,-0.009,-0.129,-0.138,3.7
0.500,-3.61,0.00,1.414,-1.185,-0.010,-0.129,-0.139,0.3
0.503,-3.67,0.00,1.330,-1.124,-0.028,-0.129,-0.156,3.7
0.504,-3.67,0.00,1.325,-1.120,-0.030,-0.129,-0.158,0.3
0.506,-3.74,0.00,1.296,-1.099,-0.037,-0.129,-0.166,2.2
0.506,-3.76,0.00,1.294,-1.097,-0.038,-0.129,-0.167,0.3
0.510,-3.80,0.18,1.344,-1.132,0.002,-0.129,-0.127,3.8
0.510,-3.80,0.18,1.337,-1.126,0.000,-0.129,-0.129,0.3
0.512,-3.89,0.18,1.294,-1.095,-0.005,-0.129,-0.134,2.2
0.513,-3.89,0.18,1.287,-1.089,-0.007,-0.129,-0.136,0.4
0.515,-3.93,0.35,1.291,-1.090,0.014,-0.129,-0.115,2.5
0.516,-3.96,0.35,1.286,-1.086,0.014,-0.129,-0.115,0.3
0.519,-4.00,0.53,1.281,-1.079,0.050,-0.129,-0.079,3.7
0.520,-4.00,0.53,1.272,-1.072,0.048,-0.129,-0.080,0.2
0.523,-4.09,0.70,1.198,-1.014,0.066,-0.129,-0.063,3.8
0.523,-4.09,0.70,1.191,-1.008,0.064,-0.129,-0.064,0.1
0.527,-4.20,0.70,1.025,-0.884,0.032,-0.129,-0.097,4.0
0.528,-4.20,0.70,1.021,-0.881,0.031,-0.129,-0.098,0.1
0.531,-4.28,0.88,1.008,-0.865,0.057,-0.129,-0.072,3.8
0.531,-4.28,0.88,1.004,-0.862,0.056,-0.129,-0.072,0.1
0.534,-4.37,0.88,0.950,-0.819,0.050,-0.129,-0.078,2.2
0.534,-4.37,0.88,0.946,-0.817,0.050,-0.129,-0.079,0.1
0.538,-4.39,0.88,0.842,-0.735,0.029,-0.129,-0.100,4.0
0.538,-4.39,0.88,0.840,-0.733,0.028,-0.129,-0.101,0.2
0.542,-4.44,1.05,0.871,-0.748,0.068,-0.129,-0.061,3.9
0.542,-4.44,1.05,0.865,-0.743,0.068,-0.129,-0.062,0.2
0.545,-4.48,1.05,0.783,-0.678,0.057,-0.129,-0.071,3.3
0.546,-4.48,1.05,0.778,-0.674,0.056,-0.129,-0.072,0.2
0.548,-4.52,1.05,0.732,-0.637,0.050,-0.129,-0.079,2.4
0.548,-4.52,1.05,0.730,-0.634,0.049,-0.129,-0.079,0.2
0.553,-4.57,1.23,0.752,-0.640,0.093,-0.129,-0.036,4.4
0.553,-4.57,1.23,0.747,-0.636,0.092,-0.129,-0.036,0.2
0.557,-4.59,1.23,0.624,-0.540,0.072,-0.129,-0.057,3.9
0.557,-4.61,1.23,0.620,-0.536,0.071,-0.128,-0.058,0.2
0.561,-4.61,1.41,0.621,-0.527,0.104,-0.128,-0.024,3.8
0.561,-4.61,1.41,0.615,-0.521,0.103,-0.128,-0.025,0.2
0.565,-4.63,1.41,0.509,-0.436,0.091,-0.128,-0.037,3.8
0.565,-4.63,1.41,0.502,-0.430,0.090,-0.128,-0.038,0.3
0.569,-4.63,1.41,0.423,-0.363,0.077,-0.127,-0.049,3.7
0.569,-4.63,1.41,0.420,-0.360,0.077,-0.127,-0.050,0.2
0.571,-4.63,1.41,0.394,-0.336,0.076,-0.126,-0.050,2.3
0.571,-4.63,1.41,0.392,-0.334,0.076,-0.126,-0.050,0.3
0.574,-4.63,1.41,0.373,-0.314,0.078,-0.125,-0.047,2.3
0.574,-4.63,1.41,0.370,-0.311,0.078,-0.125,-0.047,0.4
0.578,-4.63,1.58,0.415,-0.332,0.127,-0.126,0.001,3.7
0.578,-4.63,1.58,0.410,-0.328,0.127,-0.125,0.001,0.2
0.582,-4.63,1.58,0.314,-0.248,0.121,-0.120,0.001,3.7
0.582,-4.63,1.58,0.310,-0.244,0.120,-0.119,0.001,0.2
0.586,-4.63,1.58,0.208,-0.160,0.105,-0.101,0.003,3.8
0.586,-4.63,1.58,0.203,-0.155,0.104,-0.100,0.004,0.2
0.590,-4.61,1.76,0.178,-0.125,0.130,-0.088,0.042,3.8
0.590,-4.61,1.76,0.170,-0.118,0.129,-0.085,0.045,0.2
0.594,-4.61,1.76,0.035,-0.009,0.110,-0.007,0.103,3.8
0.594,-4.61,1.76,0.016,0.006,0.104,0.004,0.108,0.3
0.598,-4.61,1.93,-0.174,0.156,0.075,0.076,0.151,3.7
0.598,-4.61,1.93,-0.193,0.171,0.070,0.080,0.149,0.2
0.600,-4.61,1.93,-0.369,0.306,0.023,0.095,0.118,2.3
0.601,-4.61,1.93,-0.384,0.318,0.019,0.095,0.114,0.3
0.603,-4.59,1.93,-0.491,0.402,-0.009,0.097,0.089,2.2
0.603,-4.59,1.93,-0.498,0.408,-0.010,0.097,0.087,0.3
0.606,-4.57,1.93,-0.566,0.468,-0.023,0.098,0.074,2.8
0.606,-4.57,1.93,-0.569,0.471,-0.023,0.098,0.075,0.3
0.609,-4.57,1.93,-0.585,0.491,-0.017,0.098,0.081,2.4
0.609,-4.57,1.93,-0.586,0.493,-0.016,0.098,0.082,0.2
0.613,-4.52,1.93,-0.613,0.526,-0.005,0.098,0.093,3.8
0.613,-4.52,1.93,-0.614,0.528,-0.004,0.098,0.094,0.3
0.617,-4.50,1.93,-0.640,0.560,0.010,0.098,0.108,3.8
0.617,-4.50,1.93,-0.642,0.563,0.011,0.098,0.108,0.2
0.621,-4.48,1.93,-0.682,0.605,0.020,0.098,0.118,3.7
0.621,-4.48,1.93,-0.684,0.607,0.021,0.098,0.119,0.2
0.625,-4.48,1.93,-0.728,0.651,0.032,0.098,0.130,3.8
0.625,-4.48,2.11,-0.726,0.650,0.035,0.098,0.133,0.2
0.629,-4.48,2.11,-0.708,0.653,0.086,0.098,0.185,3.8
0.629,-4.48,2.11,-0.717,0.660,0.086,0.098,0.185,0.3
